id,filename,ident,name,type,frequency_khz,latitude_deg,longitude_deg,elevation_ft,iso_country,dme_frequency_khz,dme_channel,dme_latitude_deg,dme_longitude_deg,dme_elevation_ft,slaved_variation_deg,magnetic_variation_deg,usageType,power,associated_airport
85659,Alicante_VOR-DME_ES,ATE,Alicante,VOR-DME,114650,38.28609848022461,-0.5866000056266785,192,ES,114650,093Y,38.2861,-0.586617,192,,-1.141,LO,HIGH,LEAL
85662,Aberdeen_Dyce_NDB_GB,ATF,Aberdeen/Dyce,NDB,348,57.07749938964844,-2.1057000160217285,,GB,,,,,,,-4.073,TERMINAL,LOW,EGPD
85667,Autun_VOR-DME_FR,ATN,Autun,VOR-DME,114900,46.80590057373047,4.2591400146484375,2244,FR,114900,096X,46.8055,4.25939,,-1.007,-0.188,BOTH,HIGH,
85670,Alcantarilla_NDB_ES,ATR,Alcantarilla,NDB,345,37.94990158081055,-1.2304199934005737,245,ES,,,,,,,-1.244,LO,MEDIUM,LERI
85684,Augsburg_DME_DE,AUG,Augsburg,DME,115900,48.42430114746094,10.932999610900879,1542,DE,115900,106X,,,,,1.284,TERMINAL,LOW,EDMA
85696,Asturias_NDB_ES,AV,Asturias,NDB,387,43.539100646972656,-5.930530071258545,,ES,,,,,,,-3.169,TERMINAL,LOW,LEAS
85698,Avord_TACAN_FR,AVD,Avord,TACAN,110600,47.058101654052734,2.6298599243164062,554,FR,110600,043X,,,,-2.007,-0.493,BOTH,HIGH,LFOA
85699,Avord_NDB_FR,AVD,Avord,NDB,289,47.12070083618164,2.799609899520874,679,FR,,,,,,,-0.465,BOTH,MEDIUM,LFOA
85700,Avenal_VORTAC_US,AVE,Avenal,VORTAC,117100,35.64699935913086,-119.97899627685547,710,US,117100,118X,,,,16.001,13.488,BOTH,HIGH,
85701,Aviano_TACAN_IT,AVI,Aviano,TACAN,116400,46.02790069580078,12.586899757385254,413,IT,116400,111X,,,,1.001,1.522,BOTH,HIGH,LIPA
85702,Aviano_NDB_IT,AVI,Aviano,NDB,390,45.92430114746094,12.428500175476074,,IT,,,,,,,1.5,BOTH,LOW,LIPA
85704,Avignon_VOR_FR,AVN,Avignon,VOR,112300,43.995399475097656,4.746389865875244,,FR,,,,,,-2.007,-0.01,BOTH,HIGH,
85707,Marana_NDB_US,AVQ,Marana,NDB,245,32.411800384521484,-111.21600341796875,2021,US,,,,,,,11.056,LO,LOW,
85709,Waton_NDB_US,AW,Waton,NDB,382,48.07609939575195,-122.15399932861328,61,US,,,,,,,17.481,TERMINAL,MEDIUM,
85741,Colorado_City_NDB_US,AZC,Colorado City,NDB,403,36.95989990234375,-113.00900268554688,4860,US,,,,,,,12.273,LO,LOW,
85746,Nice_Cote_D_Azur_VOR-DME_FR,AZR,Nice Cote D Azur,VOR-DME,109650,43.659698486328125,7.224420070648193,12,FR,109650,033Y,,,,,0.375,BOTH,HIGH,LFMN
85755,Barka_NDB_SK,B,Barka,NDB,438,48.150699615478516,17.242700576782227,,SK,,,,,,,3.005,TERMINAL,LOW,
